Alpha    CL    CD
-180.0    -0.691769718    0.008054862
-10.0    -0.691769718    0.008054862
-9.69697    -0.65866144    0.007785548
-9.393939    -0.625530256    0.007529094
-9.090909    -0.59237787    0.007285432
-8.787879    -0.559203253    0.007054676
-8.484848    -0.526009544    0.006836877
-8.181818    -0.492794751    0.006632066
-7.878788    -0.459563599    0.006440461
-7.575758    -0.426315634    0.006262047
-7.272727    -0.393051967    0.006096889
-6.969697    -0.359769578    0.005945025
-6.666667    -0.326481472    0.005806544
-6.363636    -0.293177785    0.005681508
-6.060606    -0.259862329    0.005569921
-5.757576    -0.226537045    0.005471906  
-5.454545    -0.193205078    0.005387445
-5.151515    -0.159863981    0.005316574
-4.848485    -0.126516888    0.005259367
-4.545455    -0.093163931    0.005215832
-4.242424    -0.059807338    0.005185985
-3.939394    -0.026448009    0.005169869
-3.636364    0.006912951    0.005167493
-3.333333    0.040274771    0.005178877
-3.030303    0.073635861    0.005204029
-2.727273    0.106996278    0.00524296
-2.424242    0.140353487    0.005295671
-2.121212    0.173706725    0.005362153
-1.818182    0.207054646    0.00544243
-1.515152    0.240396664    0.00553647
-1.212121    0.273731174    0.005644266
-0.909091    0.307054165    0.005765816
-0.606061    0.340373171    0.005901056
-0.30303    0.373678578    0.006050007
0.0    0.406971846    0.006212627
0.30303    0.440251914    0.006388886
0.606061    0.473517805    0.006578749
0.909091    0.506768088    0.006782179
1.212121    0.540001744    0.006999132
1.515152    0.573217746    0.00722956
1.818182    0.606414715    0.007473413
2.121212    0.639591629    0.007730639
2.424242    0.672747115    0.008001175
2.727273    0.70588079    0.008284966
3.030303    0.73899066    0.008581941
3.333333    0.7720759    0.008892032
3.636364    0.805135364    0.009215166
3.939394    0.838169361    0.009551542
4.242424    0.871173978    0.009900551
4.545455    0.904149591    0.010262368
4.848485    0.937094834    0.01063689
5.151515    0.970008435    0.011024037
5.454545    1.002889624    0.011423714
5.757576    1.03573738    0.011835823
6.060606    1.068548438    0.012260258
6.363636    1.101326376    0.01269691
6.666667    1.134066416    0.013145693
6.969697    1.16676854    0.01360645
7.272727    1.19943091    0.014079099
7.575758    1.232053135    0.014563517
7.878788    1.264633747    0.015059573
8.181818    1.297171654    0.015567141
8.484848    1.329666177    0.016086099
8.787879    1.362114137    0.016616336
9.090909    1.394519145    0.017157646
9.393939    1.426874955    0.017709966
9.69697    1.459185473    0.018273065
10.0    1.491444397    0.018846882
10.30303    1.523654345    0.019431261
10.606061    1.555813102    0.020025995
10.909091    1.587919041    0.020630974
11.212121    1.619969422    0.021246076
11.515152    1.651967148    0.021870987
11.818182    1.683912305    0.02250571
12.121212    1.715798088    0.023150003
12.424242    1.747626593    0.023803717
12.727273    1.779396344    0.024466669
13.030303    1.811105812    0.025138703
13.333333    1.842755158    0.025819584
13.636364    1.874342837    0.026509196
13.939394    1.905859573    0.027207439
14.242424    1.937327873    0.027913805
14.545455    1.968720743    0.028628434
14.848485    2.000049981    0.029351082
15.151515    2.031314605    0.030081407
15.454545    2.062511219    0.030819242
15.757576    2.093635006    0.031564616
16.060606    2.124693797    0.032316991
16.363636    2.155678972    0.033076416
16.666667    2.186582578    0.033842735
16.969697    2.217429407    0.034615326
17.272727    2.248198615    0.035394482
17.575758    2.27888418    0.036179879
17.878788    2.309501643    0.036970893
18.181818    2.340040854    0.037767801
18.484848    2.370503139    0.038570126
18.787879    2.400889371    0.039377738
19.090909    2.431191962    0.040190448
19.393939    2.461405582    0.041008216
19.69697    2.491555217    0.041830118
20.0    2.521610643    0.042656667
180.0    2.521610643    0.042656667
