  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.1970   0.00770   0.00224  -0.0554   0.8846   0.1161
  -3.000  -0.0877   0.00708   0.00174  -0.0546   0.8387   0.1899
  -2.000   0.0219   0.00660   0.00141  -0.0539   0.7828   0.2958
  -1.000   0.1304   0.00609   0.00122  -0.0532   0.7192   0.4630
   0.000   0.2372   0.00565   0.00122  -0.0520   0.6516   0.6797
   1.000   0.3416   0.00548   0.00139  -0.0498   0.5858   0.8601
   2.000   0.4500   0.00578   0.00167  -0.0482   0.5254   0.9673
   3.000   0.5921   0.00635   0.00197  -0.0547   0.4637   0.9945
   4.000   0.7148   0.00693   0.00230  -0.0574   0.3981   1.0000
   5.000   0.8095   0.00775   0.00278  -0.0540   0.3154   1.0000
   6.000   0.9020   0.00905   0.00360  -0.0505   0.2123   1.0000
   7.000   0.9946   0.01068   0.00475  -0.0474   0.1186   1.0000
   8.000   1.0874   0.01234   0.00611  -0.0445   0.0659   1.0000
   9.000   1.1796   0.01393   0.00761  -0.0416   0.0436   1.0000
  10.000   1.2672   0.01566   0.00936  -0.0381   0.0324   1.0000
  11.000   1.3464   0.01767   0.01144  -0.0335   0.0262   1.0000
  12.000   1.4085   0.02001   0.01393  -0.0264   0.0222   1.0000
