X,Y
0,0
0.0523,0.154776
0.1535,0.162962
0.3033,0.174879
0.5015,0.190969
0.7479,0.211457
1.0421,0.23626
1.3838,0.265075
1.7725,0.297925
2.2078,0.334567
2.6892,0.374676
3.2161,0.418227
3.788,0.465007
4.4042,0.514786
5.0641,0.567355
5.7669,0.62247
6.512,0.679781
7.2985,0.739158
8.1257,0.800211
8.9927,0.862613
9.8987,0.926228
10.8427,0.990688
11.8239,1.055569
12.8412,1.120763
13.8937,1.185815
14.9805,1.250495
16.1004,1.31442
17.2524,1.377304
18.4354,1.438881
19.6484,1.498716
20.8902,1.556653
22.1596,1.612238
23.4555,1.665278
24.7768,1.715396
26.1221,1.762315
27.4904,1.80583
28.8802,1.845568
30.2904,1.881289
31.7197,1.91284
33.1668,1.939809
34.6303,1.962062
36.1089,1.979401
37.6013,1.991561
39.1061,1.99847
40.6269,1.999897
42.1645,1.997994
43.7099,1.993402
45.2619,1.986253
46.8187,1.976395
48.379,1.963901
49.9413,1.94867
51.5039,1.930743
53.0654,1.910142
54.6243,1.886919
56.1791,1.861047
57.7282,1.832593
59.2701,1.801562
60.8033,1.768114
62.3264,1.732286
63.8377,1.69407
65.3358,1.653704
66.8193,1.611278
68.2867,1.566789
69.7364,1.52048
71.1672,1.472394
72.5775,1.422732
73.9659,1.371636
75.3311,1.31925
76.6718,1.26571
77.9864,1.211197
79.2738,1.155933
80.5327,1.10003
81.7617,1.043671
82.9596,0.987096
84.1253,0.930408
85.2575,0.87385
86.3551,0.817591
87.417,0.761875
88.4421,0.70678
89.4293,0.652577
90.3777,0.599452
91.2862,0.547587
92.154,0.497082
92.9801,0.448198
93.7637,0.401072
94.504,0.355892
95.2002,0.312865
95.8516,0.271989
96.4576,0.23352
97.0174,0.197636
97.5305,0.164394
97.9964,0.133986
98.4145,0.106403
98.7845,0.081877
99.106,0.06037
99.3785,0.042096
99.602,0.026997
99.776,0.015197
99.9004,0.006802
99.9751,0.001704
100,0
