X,Y
0,0.684372
0.1258,0.703957
0.2981,0.731504
0.5154,0.767953
0.7762,0.812777
1.079,0.865055
1.4223,0.923762
1.8049,0.987952
2.2253,1.056315
2.6824,1.12481
3.175,1.19483
3.7023,1.265947
4.2635,1.337144
4.8579,1.407284
5.4852,1.474338
6.1452,1.535945
6.8381,1.594114
7.5641,1.648059
8.3237,1.696979
9.1177,1.739741
9.947,1.773666
10.8126,1.801165
11.7159,1.821866
12.6581,1.835393
13.6405,1.841549
14.6645,1.840406
15.7314,1.831395
16.8425,1.815892
17.999,1.795378
19.2019,1.771197
20.4515,1.745241
21.7348,1.718607
23.0462,1.691326
24.3843,1.663419
25.7478,1.634835
27.1353,1.605762
28.5455,1.576048
29.977,1.545896
31.4283,1.515193
32.8981,1.483962
34.3848,1.452348
35.887,1.420311
37.4032,1.387902
38.9319,1.355101
40.4715,1.322024
42.0207,1.288626
43.5777,1.255037
45.1411,1.221181
46.7094,1.187145
48.2809,1.153021
49.8541,1.118744
51.4275,1.084392
52.9995,1.050018
54.5685,1.015671
56.1329,0.98133
57.6913,0.947072
59.2421,0.912956
60.7838,0.878977
62.3147,0.845167
63.8335,0.81155
65.3386,0.778226
66.8284,0.745236
68.3016,0.71254
69.7567,0.680256
71.1922,0.648302
72.6068,0.6168
73.9989,0.585786
75.3673,0.555234
76.7105,0.525258
78.0273,0.495821
79.3164,0.466955
80.5764,0.438726
81.8062,0.41117
83.0044,0.384277
84.17,0.358147
85.3017,0.332681
86.3985,0.307994
87.4592,0.284155
88.4828,0.261071
89.4683,0.238843
90.4148,0.217491
91.3212,0.19702
92.1867,0.177391
93.0104,0.158775
93.7915,0.141128
94.5292,0.12439
95.2228,0.108681
95.8717,0.093971
96.4751,0.080244
97.0324,0.067596
97.5432,0.055964
98.0068,0.045415
98.4229,0.035903
98.791,0.027566
99.1108,0.020267
99.382,0.014096
99.6042,0.009016
99.7772,0.005083
99.9009,0.002281
99.9752,0.00057
100,0
